comment,score,likes
That cat is momentarily paralyzed 🤣,0,0
Jeezzee Even I as a cat would not do that..🐱........typical selfish female .,0.3724,0
I think he got a big ass hangover,-0.5423,0
😂😂😂😂,0,0
That is one cool cat.. love it.,0.7579,1
He is absolutely a safe and secure sweet baby this video made my day!!!!!!!!!😄😄😄💜,0.8757,0
That’s how I’m gonna act on the job once Rona lets me back out 😂,0,2
Cat probably ate a Corona bat from the kitchen and is slowly dying.,0,0
Maybe he ate that old 96er (steak)😂 from that movie Uncle Buck with John Candy. And got his meal for free and just waiting for his T-shirt😂,0.5106,1
High AF,0,2
I would have taken of my belt and  I would have beaten the shit of that fucking ugly cat,-0.3384,0
I love it he is So Spoiled Rotten I just love it🤣🤣🤣🥰🥰🥰🥰🥰❤❤❤,0.7024,0
lolx33,0,0
That is how all of my dogs sleep lol,0.4215,0
Fake. It was a paid actor.,-0.4767,0
So lucky that isn't an Asian restaurant 🤷‍♂️,0.4754,0
I hope poor baby is not sick i wanna grab him from my phone screen n hug him,0.681,0
If that’s in China that’ll go straight to the kitchen,0.2263,0
Wow. Talk about dedication!,0.6239,0
Thats fuck Garfield IRL lazy bitch expecting some lasagna.,-0.8689,0
"smarty pants
He napping at work he look's like he doesn't care about anything just leave him alone lol🐈🤭",-0.0588,0
"I mean, if you actually want him to move, there is a method...",0.0772,0
I would of threw a cold bucket of cold water,0,0
WHO'S THE BOSS? hehehhehe...,0,0
Joe Rogan gave the cat DMT.,0,0
Joe Rogan gave the cat DMT.,0,0
Someone feed him or her probably full now,0,0
"That fat cat says , I love my job , i get to eat all the mice and rats in the restaurant, and shed all my fur on the tables and kitchen",0.6369,0
Wth? I tried doing the exact same thing and I got arrested. I mean if a animal can do it why can't I? What's the big deal about laying on the floor in my birthday suit with my legs the exact same way?,-0.7929,0
Definitely hung around to many dogs 😂,0.4019,0
"Cat say : Who care,i wanna sleep.Why bother why bother...😽😺😼",-0.34,0
Shavasana,0,0
That's nasty. I don't want to eat in an establishment that has animals lying around it's unsanitary. I can only imagine cat hair in everything. Everyone is not a lover of cats. I have a right to my opinion. It's my money being spent.,-0.8832,0
Oh si humana... acariciame🤣,0,0
That cat not stupid it’s stretch out knowing he going get some rubs lol,0.6784,0
"CNN: ORANGE MAN BAD!

ORANGE MAN CAT: HOLD MY CATNIP!",-0.6229,3
That cats laid out like it has 2 jobs and a mortgage.,0.3612,0
A real Alfa man.,0,0
If it were China the cat would be boiling,0,0
"Wait I will call my borbee




My pet dog pitbull😋",0,0
Let’s hope it’s not a Chinese restaurant,0.4404,0
I think it knows it's on the menu!!!,0,0
He had one too many.,0,0
I just feel like gently picking him up and just very lightly moving him over to the side.,0.6705,2
His territory..,0,0
"Ha,ha,ha,ha..Morris, be like ""Fuck it, I'm crashin' right the fuck here""..LMAOOOOOOFF 😂😂😂😂",-0.6705,0
I think the cat just finished doing 5 sit ups n now taking 'some' rest,0,0
Love it! Just being his cat self.,0.6696,0
Too funny. What a character 😆.,0.4404,0
Lazy cat! 😂,-0.4199,0
Ja ja ja i like this cat!!!😁😁😁,0.5229,0
I hope this isn't a Chinese resta...oh nevermind.,0.4404,0
"this cat take to much ""marijuana""",0,0
Typical Narcissist behaviour!,0,0
That cat must be landlord of that hotel,0,1
Leave dat whiskey alone kitty kat up all night making all kind of noise burning that midnight oil na look at you need a cup of coffee a cigarette and tylenol 😂😂😂😂😂😂😂😂😂😂😂,-0.296,1
This is everyone now a daily basis  during this covid 19,0,0
RigaMorris,0,0
Maybe put a cucumber next it and see how quickly the cat moves.,0,0
Looks like those old school carpets lions only you would see in old movies.,0.3612,0
That Cat is an Exibitionist😐,0,0
Americans in a nutshell,0,0
Oow she is more lazy than me,-0.4201,0
He is lucky it’s not a Chinesse resto!!😂🤣😂🤣,0.5242,0
"#1 Why is this cat in a restaurant around people food?  
#2 He probably ate steak and potatoes while in the kitchen and he is full.  So you nap where you are comfortable when that sleep hit.",0.5106,0
The real life Garfield 😂🤣😂😊,0,0
Looks so healthy,0.4576,0
He is eating up all the attention,0,0
"Coronavirus pandemic 

Kitty I ain’t got it 😼😹😹😹",0,0
Lucky cat enjoys attention,0.7269,0
Chinese meal 🥘 🤓🤓🤓🤓🤓,0,0
"Can a person take a nap in peace please.uch, thank yuuuu.",0.7184,0
His waiting to get laid,0,0
Msg in the meal...napping it off,0,0
She’s high,0,0
What's  a cat doin in a fuckin restaurant anyways I'm reporting this video,0,0
That’s how I’m trynna be once this whole rona leaves just like this cat here when I’m at the bar,0.3612,1
Cat eat cat sleep 😴,0,0
Is he drunk? 😝,-0.34,0
If I didn't see this with my own eyes I thought he was dead.🤗🤗🤗,0,0
Drunk as fuck!,-0.7345,0
Times are tough were deep in doubt but that's alright let it all hang out.,0.128,0
Its their world.,0,0
Thailand is hot and humid,0,0
Who else clicked to read the comments?,0,0
"OMG! CAT ON FLOOR IN ASIAN RESTAURANT, SURPRISED TO SEE IT'S NOT ON SOMEONE'S PLATE.",0.2942,0
I hope it wasn't the food.,0.4404,0
Dam i thought it was dead because it was sleeping so good,-0.1428,0
Could be the owner of hotels... who knows?? It's up normal!,0,0
"Lol, You think that she is lazy. Actually, go and check your milk-pot. Definitely, she has finished at all.",0.4588,2
That cat will be on the menu next week..,0,0
It's like he is recovering after he lost a smoking round with Félix.,0.0516,12
😂😂😂,0,0
cat waz high last night,0,0
"Кот - пофигист , нам бы его спокойствие",0,0
Ele existe mesmo. Kkkkkkkk,0,0
"My dog does this on the couch, just completely relaxed.",0.5413,0
I like hows everyones just letting him be like he does this everyday,0.6124,506
That cat owns the place.,0,0
Spoiler alert: Cat was dying.,0.296,0
he will stay there until someone notices...,0,0
Thats a weird cat 😂 not a care in this world,-0.5152,0
"Cat🐈: i am too full to move. The boss says i don't have to, so you move over

'Have a me-ow day'",0,0
After you eat a whole pan of lasagna,0,1
"""Human blocks walkway to record cat sleeping in the walkway""",-0.2263,6
"Bring a live size tiger and watch how it runs out wild.

Simply use a whip to awaken it's senses or spray some water on it.",0,0
That's gotta be the most chill cat I've ever seen,0,0
Superman.,0,0
Throw some water on him.,0,0
This cat was probably drugged by a stranger or ate something that didn't agree with it's system.,-0.2755,0
Zero fucks given.,-0.4767,0
"Go home, cat. You're drunk.",-0.34,0
he already gave his 2 weeks notice,0,0
Seriously 😂😂😂,-0.1779,0
That cat has been drugged.,0,0
What happn if sombody ..putting theare legs on her legs🤔,0,0
I'd pet that cat,0,0
This happens when you get into a barfight.,0,0
Basters probably have the cat on Marijuana.,0,0
Oblivious to his surroundings.,0,0
I hope a health department representative is not a customer that day cause isn't that a health hazard?,0.4404,0
i would have kick that cat in the face,0,0
It just reminds me Tom and Jerry 😻,0,0
Don't disturb...)))...cat's in nirvana,0,0
That's actually how I sleep. 😂,0,0
"Damn shame, that cat has all that power 😁😁😁",-0.7003,0
"how did the cat came to know about my ""quarantine yoga  "".i am shocked .",-0.3182,0
The cat has always been there. They built the restaurant around it because no one had the heart to tell it to move.,-0.296,0
"Hahaha so cute like ""I'm the king on my own world""❤",0.8648,0
OMG how cool!,0.3802,0
"This CAT completely trust trust everyone 💯

These is how a 🐈 show's",0.8012,68
Real life Garfield,0,0
ONE WRONG STEP OF A 120Kg GUY,-0.5904,0
"*That cat really wants someone to step on her paw or tail so she could SUE them for injury, LOL!!* 😂
TROUBLE-MAKER and CON ARTIST!!",-0.6083,48
I knew how that feels 😁 the group must be cool to sleep upon it #DatzAll,0.3182,0
"Lol, that's  one lazy a_ _ cat!",0.1511,0
I want what he’s on.,0.0772,0
Gosh life's hard..,0,0
He is drunk 😑,-0.34,0
I wonder where Ollie's been going during the day....now I know,0,1
🤗🤗,0,0
Hahaha,0.5574,0
"Mad world going around in circles
Me:",-0.4939,0
Is he castrated?,0,0
This is definitely not filmed in Wuhan China.,0.4019,0
Coronavirus..Im gonna end this cats carier😈,0,0
She should be drink too much beer.... 🐈,0,0
That cat is a paid actor,0,0
He’s had a hard day leave him alone 🤣,-0.3818,1
Hey garfield weakup,0,0
That’s a black cat,0,0
"Cat colour: orange CHECK
Place: restaurant CHECK



Confirmed! he is GARFIELD",0,362
The happy life.,0.5719,0
Lol,0.4215,0
"""Feel free to rub my belly""",0.5106,0
"what a lovely, trusting cat. she has overcome her natural evolutionary fears! 👌 👌",0.7574,5
And that my friends is the perfect example of.....a typical cat!  😼,0.7959,0
"They dont bother the cat cause they are educated people, that dont play with the food.",0,0
Gen MacArthur,0,0
The cat is on drogs,0,0
😍😍😘😘,0,0
That cats got a lot of balls doing that in China of all places.,0,0
I think that thing got in to the saki or rice wine,0,0
But why is there a cat in a restaurant 🤔,0,0
Què confiaza en sus dueños!😍😍😍,0,0
That's also me on bed Thinking about  How My Career is Ruining .,-0.25,0
Please loosen it's neck belt. It seems tight.,0.3182,0
*GARFIELD* 🐱✌,0,1
In ancient times cats were worshipped as gods; they have not forgotten this. Accept them as it is .😀😄😃,0.8109,0
🥳very cute,0.4588,0
"Drinking problems, work stress.....",-0.4019,0
He knows he's next on the menu.,0,0
"It’s funny but, I would NOT go to a restaurant that  allows that ! 👎",0.3054,0
Raat bhar chatting ka effect,0,0
She dead,-0.6486,0
When you been on quarantine for a month.,0,1
Plot twist: The cat is sedated before it becomes food,0,0
I feel attacked,-0.4588,0
I love this!,0.6696,0
He looks tranquilizeed😳,0,0
"If this were in China,  this little guy would be on the menu instead of lounging on the floor.",0,0
It is a foolish cat not lazy. Thats how foolish cats behave😅,-0.2709,0
Где комментарии про «наелся и спит»?,0,0
Котэ - как бэ отдыхаэ!))),0,1
i think he is ill or sick..,-0.4215,0
"The cat looks drunk or high, not lazy.",-0.0747,0
Lost in his own world...😃,-0.3182,1
"how do yall not see the lack of genitals on the cat, why are you guys saying 'he' 😂😂",0.2411,0
"*Don't you dare call me a lazy cat!!😾  I opened my eyes and moved my head, paws and tail a few times!* 😺  *AND......most import of all!  I did a very good job at watching* *you guys work!!* 😼😸😹",0.4331,1
Too much of Vodka is bad lol.,-0.1779,0
😆😆😆😆😆,0,0
It looked a stuffed animal before it moved,0,0
Haaaaa this is not a cat  maybe he is overall of that place,0,0
I like him😊,0.3612,0
Cats doped up on something,0,0
Omg how cute!😍,0,0
Kitty 🐱 move 😂😂,0,0
Love it !!!,0.7249,0
Trust me this cat lives a better life than all of us.. So ask yourself are you realy living a good life or just a slave to the system and grinding it out.,0.8442,0
Boss cat,0,0
I THINK SHE DRUNK ON LAST NIGHT😂😂😂😂😂,-0.34,0
"Actually the reason is cat has taken alchohal,or any anesthesia",0,0
IAt first I thought it's dead,-0.6486,0
He seems heartbroken.. Rejection?,-0.5423,0
He reminds me of *Garfield*,0,0
"Which mean, he feels so comfortable.",0.6418,0
Luckily this cat wasn't in China,0.5106,0
That's literally me right now.,0,0
Hei is high,0,0
So sweet n so funny,0.8107,0
Garfield?,0,0
Omg! 😍😍😍😍😍😍😍😘😘😘😘😘😘😘!!!!!!!,0,0
Drugged,0,0
All that msg got him wiped out.,0,0
Lol he work all nigth keeping restaurant out of rats 🥰,0.4215,0
I think he did sex 4 times last night...,0,1
The real Garfield!,0,0
This is like a modern day Garfield,0.3612,0
He’s definitely high.,0.4019,5
"If I found one hair in my food, I'm getting a free meal or a refund.",0.5106,0
😂🤣😂🤣🤗🤣😂🤣😂🤣😂😂,0,0
Omg sooo cute i want that cat,0.5106,0
😅😅😂😂😂😂,0,0
Plot twist: she was waiting to get her kitty licked 🐱,0,0
His name has got to be Garfield.,0,0
Get that cat outta there!!! That’s so anti-hygienic... There’s a reason for NO ANIMALS ALLOWED signs!!! SMH 🤦🏻‍♂️ I don’t care if that’s the owner’s cat... He don’t belong there... PERIOD!,-0.6038,0
That's a cool cat!.,0.3802,0
"Serán anormales? Lleven al gato al veterinario, alguna bajada de azúcar! ...... o algo le sucede por minutos y dejen de comer de la que pica el pollo!",0,0
Sweet 🥰🥰🥰🥰 kitty,0.4588,0
Now this is the real meaning of tired,-0.4404,0
HOW RUDE!,-0.5093,0
Kitty be like Fuck it I'm over worked and under paid LOL,0.368,0
Made in China 🐸☕️,0,0
"Seems someone prefers their milk Irish. Gotta slow down little buddy, those hangovers are no joke.",0,0
I came here to read the comments,0,0
What you people have never heard of a cat nap if you had him I bet he would be sleeping in the middle of the floor you don't believe me getting one you'll see what he does with it,0,0
"My life story, very recommended!",0.3367,0
Trying to get that insurance claim I see,0,1
HAHAHAHAHAA,0,1
Es el dueño del resto y descansa donde le plazca,0,0
chillin,0,0
That cat is broken hearted 😅,-0.4767,0
Not a care in the world.,-0.3875,0
Is that puss in boots ?,0,0
🤣,0,0
This is why I love cats they just do their own thing !!!,0.7249,0
Cat-spreading is a thing I guess lol,0.4215,0
Doesn't look natural to me. It must be sick from factory pet food. Many cats behave no more natural...,-0.7657,0
"Fun fact, there are exactly 1,346,972 expressions in Catanese that mean ""mine""; this is one of those expressions.",0.5106,0
Life is good on that darn floor😃😃😃,0.4404,0
Cat is like: I'd rather be buried here than leaving this comfortable spot buddy.,0.7488,8
Cat's in a K-hole......,0,0
Laying in bed watching this and laughing til I cry,0.0258,0
This is me,0,0
Has anyone tried to tickle the cat’s belly?,0,0
Garfield ate too much lasagna !!,0,0
Some bus boy keeps blowing smoke in his face.,0,0
That cat has 0 respect.,0.4767,0
Meow,0,1
I BET I KNOW WHAT WOULD MAKE THAT LIL FUCKER TAKE OFF RUNNING LIKE THERE'S NO 2MRW BANG 2 POTS NEXT 2 HIM 😂👉🐈,-0.694,0
Way too much Catnip,0,0
I want him! 👑🏅♥🐾🐯🐈Purr!,0.2225,0
🤗🤗🤗🥰❤❤❤☺️,0,0
🤪🤣🤣,0,0
I wish I can sleep like that.😍😍,0.6369,0
Lmfao this cat looks hammered!! 🤣,0.6229,0
Chinese people finna Cook it and fry it,0,0
"I dunno, never would I eat in a restaurant with a cat that is living there... I'd get grossed out.  Just the thought of cat hair in my food.   To each his own.",-0.1027,2
Orange cats 🐈 are usually always SUPER CHILL AS F .  😍😍 he been in dat cat nip lmao 🤣  he laid out waiting for them munchies to kick in.,0.8602,0
Me right now,0,0
"Let him sleep , tired from keeping the mice down.",-0.4404,0
"For him to lie on his back and expose his belly like that, says a great deal about how secure he feels there. He must have a lot of love and trust in his humans...",0.9423,287
Garfield,0,0
That cat has Proaxial Stembulis Ogmental Auronora. He needs a vet immediately !!  He is NOT sleeping!,0,0
I thought the kitty was dead . Until I saw her move her tail,-0.6486,0
Ok who gave the cat the pills?,0.296,0
"""Deja de estar chingando y déjame dormir""",0,3
I wished when I laid around on the floor people would come up and pet me.,0,0
El gato está cansado estuvo correteando las ratas que hay en el restaurante?,0,0
I thought someone had dropped there diner on the floor!,0,0
Love her,0.6369,0
Oh to be so utterly at ease inthe world.....,0.4664,0
Lyme pathology ?,0,0
Could u imagine what would happen if a human did that in his restaurant 🤪,0,0
I want to eat there… Anybody know where this restaurant is?,0.0772,0
The cat think it is a Snorlax.,0,0
The Cat just finished the all you can eat Buffet challenge:),0,0
I woke today with that look due to Qaurintine,0,0
This is why I'm glad I quit drinking,0.4588,35
HE LIKE I OWN THIS AND IF U HAVE A PROBLEM U DON’T HAVE TO COME BK,-0.0516,7
Oh the sense of entitlement..😭,0,0
Too much fat.. that is why !,0,0
Maybe it’s catatonic? 😏,0,0
Wonder what deal the cat made with them to not cook him,0,0
"That cat just chilling like it's no tomorrow.
Cat: I drank too much of that hard milk and ate some of that meow mix I'm going to sleep",-0.0516,4
He doesn't even care that he's in the middle of the road,-0.3875,0
Ghni  nind  aa  ri  h  kuton  sone  do  muje😁😁😁😁,0,0
I wouldn't eat at a restaurant that has a cat roaming around in it. Let alone one stretch out on the dinning room floor. Cats do not belong in restaurants.,-0.25,1
😂😂😂👏👏👍👍,0,0
Imagine the cat hair in the kitchen,0,0
He just doesn't care.  Dude is like go around and don't bother me.  This is my house 🏠.  I sleep where I want!,0.3612,0
"Please tell Tony Baker, did a voice over 😀",0.3182,0
He’d wake up if I kick the little bastard like a football ⚽️,-0.2466,0
Is the ower🤔😂😂😂,0,0
I love all animals and think their antics are cute. I especially love the cat in our local feed store BUT in a restaurant where food is served?? I can’t believe that isn’t a health violation🤷🏻‍♀️,0.7622,0
No don't get up. I'll walk around you,-0.296,0
"Cat be like: will it kill you to walk on your tippy toes? I'm trying to get some shut eye here, jeez💤",-0.4939,0
And we wonder why we have animal transmitted viruses,0,0
That’s the boss right there.....no fuking around.,-0.6369,1
Heroin is a hellavu drug,-0.4939,0
That cat is my mood,0,0
probably had a lot of cat nip,0,0
Should've been tazered,0,0
Oh so comfortable,0.5563,0
it looks dying.,0,0
I love animals soooooo much!!! So cute and that’s why China has a whole world of hurt coming their way. Not all bad in fact a real minority however the government have been complicit in the most horrendous animal torture and abuse...,-0.4922,0
That's me on Sunday at home,0,0
Over eaten......,0,0
Goddanm how much I love cats cannot be put into words lol,0.7906,0
"My female cat sleeps like that sometime. My male cat ACE, ctually sits on his butt on the couch with his legs stretched out and with his right arm on the arm rest, and looks at the TV. He copies my husband. 🤣",0.3612,0
"That cat is seducing people so they stop and rub him. He wants lots of rubs so that he does a dopamine release. He already released some by eating his chicken and beef and gravy happy cat food, after sniffing cat nip and then rolling in it. 🤣",0.3008,0
"Me laying in my camping tent, with music  on, rain, and a lantern on, after drinking and eat bomb barbecue cooked in our fire pit.",-0.6808,0
This one is really lazy cat😂😂😂😂😂,-0.4201,0
This is not 'lazy'.  This is CAT.,0,0
He's taking a power nap,0,0
Awwww so cute,0.5095,0
"keep calm, just watch",0.3182,0
He must have caught and eaten ten rats that day,0,0
😀😀  good video and watch my dog funny video and subscribe. https://youtu.be/VF0kXeZfQv4,0.7003,0
Wow1 I've never seen any cat like lye that posture before.,0.3612,0
Live action Garfield,0,1
Maybe he is sick,-0.5106,0
So awsome cat... wonderful thing.. maybe its hot there...  i have 2 cats.. this one is so loving awsome..,0.8737,0
I thought that cat was dead! LOL,-0.2638,0
The cat is sick yoh,-0.5106,0
This cat is extremely lazy. 😂,-0.4201,0
i would have killed that lazy bastard,-0.8885,0
fuck cats,-0.5423,0
This cat is drunk,-0.34,0
Now that's chilling.😁,0,1
M a dog person but she’s just adorable,0.6486,0
🤩🤩🤩🤩🤩,0,0
I think that cat is either depressed or has eaten 5 mice and is hella full,-0.5106,0
That cat don't give a fuck,0.431,0
Cat been at the puffer fish,0,0
"😳 Mais c'est scandaleux ! Ce chat est hyper indiscipliné, il s'est imposé, il a trop pris ses aises. 🤣",0,1
I hope his name is Garfield haha,0.7096,0
Look like a garfield,0.3612,0
Sure the guy did the busy night shift,0.3182,0
This cat is my personal hero,0.5574,0
Cat is inspired by kumbhakarna,0.4939,1
"If Jeffrey Lewboski was a cat. 
They should have a audio recording of bowling pin strikes playing over the  P.A. system. Lol!!!",0.4545,0
Cat’s just tryna give a sign. Animals being killed in the back,-0.6705,38
I worked with a black guy just like that.,0.3612,0
Sleeping like human 😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂,0.3612,0
The cat is obviously stoned or on some of sort narcotic,0,0
It's lazy 🐈😴😴,-0.3612,0
Authority Personified,0.0772,0
"I sleep like that, with one eye open, because it's dangerous out here for a kitten",-0.1531,0
This has totally made my day.  Cats rule xx,0,0
"I think, Cat 🐱  had health related problems.",-0.4019,2
I love cats so much,0.6369,0
Ol boy is hung over🤣😂😂,0,0
Catwalk,0,1
Hahhahahah.. funny...,0,1
Вот доебался до кота!,0,0
"Chinese restaurant.
Cat's on the menu.
He's the appetizer.
Nom Nom Nom.",0,1
Don't disturb Mister Pussy,0.3089,0
That cat is depressed,-0.5106,0
I can't stop laughing 😂 😂 😂 💗,-0.1877,0
Pregnancy,0,0
lol fukkkkkkk corona lol,0.6808,0
It's in a CATatonic state,0,0
its me,0,0
Царь отдыхает ))),0,0
Mashaallah,0,1
Work hard rest easy ...,0.3612,0
Chinese restaurant ?? he's been eaten by now,0,0
She is a soiled  Cat,0,0
Odio i gatti ma tu sei proprio bello!,0,0
"I was afraid that this might be in China, but it's in Thailand, that should be good enough (for the cat).",0.5927,39
I would eat absolutely nothing from there😷😷😷😷😷😷😷,0,0
🐱🐹👍,0,0
"Hey get up. If chenenes saw u, they will fry u.",0,0
Hung over....,0,0
Хорош косятка!,0,0
"Everyone: Omg restaurant is so busy
Cat: Who gives a fuck?",-0.5423,0
Precious,0.5719,0
"""Paulie may have moved slow, only because Paulie didn't have to move for anybody""",0,5
Catnip OD.,0,2
That cat is drunk,-0.34,0
😂😂😂😂😂😂😂😂😂😂😂😂😂😂,0,0
In India this is common,0,0
"That's a hazard, he should be moved",0,0
This is how I want to be reincarnated...,0.0772,0
Owner,0,0
Me in the class,0,0
"lol  ! I wish I could  give ""less fuck"" like this cat",0.5868,0
"Owner: Kitty the customer ask for the bill.
Kitty: Nah you do it.",-0.1027,91
"8 lives left ,!!!!",0,0
i think that belly up is a sign of being content and safe,0.4404,0
"*Cat be like* ""...the ASMR of this coffee shop is toooooooo much........zzzzzzzzzzzzzzzzz.......""",0,0
Does this restaurant serve beer? Hell yeah!!!!,-0.7762,0
C'est le pachas,0,0
It may be unable to move. It may have food poisoning from eating there. 🤔😂,-0.5859,0
His not refusing g he finds it relaxing spot,0.666,0
Damn it's Garfield 😁,-0.4019,0
"Orange cat , as always the ""different"" one 😅🤣",0,3
I'm so lazy 😴😪😺,-0.4201,0
Chillin like a boss! 🤣👍,0.4199,0
Cat in a restaurant... So unsanitary!,0,0
Now that is exactly what a happy cat looks like,0.7351,0
"All you need is a chalk outline and some police and you have an ""animal crime scene""! 😅",-0.5848,0
"@1:08-""You missed my sweet spot. Aaah!..
@1:24- The latest yoga posture: The Catrona Various (Yawn, zzzz)",0.2714,0
I would be lazy too if own the place ha ha,0.3182,0
drugged?,0,0
"He sleep like my cat , hahahaha!",0.4199,0
Nunca vi a un gato tan querendon Jajajajajaha  jajajaja Jajajajajaha jajajaja Jajajajajaha jajajaja Jajajajajaha jajajaja Jajajajajaha jajajaja,0,0
He is a beautiful cat.🐈🐾🐾💙👌👍🐦🐞🐝,0.5994,0
Kick that mother out,0,0
Cook the cat,0,0
This cat is too much! ❤,0,0
I would of knugged him,0,0
Would you like some ringworm with your meal?,0.3612,0
I hope nobody steps on the poor little fellow. Somebody might not see him and steped on him by accident. I would not want the cute little cat to get hurt.,-0.8556,0
"That cat was the special of the day , roasted cat .",0.4019,0
he def had some Chinese vodka🤣🤭🤣,0,0
"During the summer, sleeping on a laminate floor is so nice. Compared to a carpet. 😴",0.5598,3
It's always the Garfield looking cats that be doing stuff like this.lol,0.3612,0
Cat says keep it down,0,0
I never thought I would see a real Puss-n-boot😊...all he need is the hat and boots. Too cute😍,0,0
Me,0,0
Recovering from a bad hangover 🤨,-0.5423,0
Damn pour pussy got the coronavirus.,-0.4019,0
Mood 😎,0,0
Garfield in real life,0,0
Racist talk is about to happen. 1 2 3 go.,-0.6124,0
Is this a protest?  Like ... give me food or else I ain't gonna move my butt...or just plain attitude..?,0.2168,0
He's showing off his abs.,0,193
"""Y'all ain't eatin' me! Over my cold dead paws!",-0.7081,1
yes,0.4019,0
This is my house y'all are just guess here.  You dont like it leave!🤣,-0.3404,0
Today's special cat soup.,0.4019,0
I would kiss it’s tummy lol,0.6808,0
That cat 💯 looks stuffed...until they got closer. 😁,0,0
Zen,0,1
Sure its not dead,0.6948,0
"Put that hot wok by his ass, watch how fast he wakes up !",-0.5848,0
This is what #Lockdown looks like.,0.3612,0
Coo|,0,0
Gross,-0.4767,0
Not a place to eat obviously,0,0
That's how I get when I'm drunk,-0.34,0
Aww so adorable 😍,0.5413,0
"""I'm the best looking and baddest motherfucking cat in here. Hold my drink, bitch.""",0.1027,0
😄😄😄😄😂😂😂😂 love that cat. And he is not lazy!!!! He is unmotivationally challenged!!,0.7156,0
She's drunk😂,0,0
Can we cook him? Please,0.3182,1
Take him to China and he would move,0,0
Cat b like...anyways,0,0
Hermoso! Que disfrute...,0,1
Pretty muscular cat,0.4939,0
"After a night shift at the restaurant,
 eating leftovers :))",0,0
Oh. I hope he doesn't get stepped on.  He is gorgeous,0.7845,0
Life....... Is goooood 😎,0,0
That's confidence!! 🤣👍,0.5972,0
Eu!,0,1
Throw some water on his ass.you aint home pimpin.,0,0
Pinche   gato   le   vale   madre  !,0,0
"This is so special.
 For him to lie on his back like that, he completely trusts his environment!
Speaks volumes!! 
They obviously treat him very well ❤️❣️",0.9366,915
This how full ppl supposed to be 😂😂😂,0,0
Ginger cats are definitely the best such great characters 😻,0.9001,0
Bum,0,0
😺😘,0,0
"_""Please go away, let me _*_sleep,_*_ for the _*_LOVE OF GOD!!!""_*",0,2
😂😂how can anyone give this a thumbs down?!,0,0
He doesnt know it yet but he is on the menu.,0,0
Cats totally regretting eating that magic brownie.,-0.4576,0
Lol!,0.4753,0
He's Drugged!,0,0
Nite Nite kitty kitty...hey from NORTH CAROLINA🇺🇸🐾🇺🇸🐾🌷💛👍,0,0
"That kittt ded , drunk or high off his arse hahah",-0.34,0
Too much catnip,0,0
What? I work here. I'm counting waitresses.,0,0
He's next on the menu.,0,0
Sleeping & lazy until he gets stepped on!,-0.4199,0
Looks well fed👍,0.2732,0
So freakin cute. 😻,0.507,1
"Catnip bong. Munchies, too stoned",0,0
He got the Rona ??,0,0
"If it was in a country that eats cats, it would be a food health code violation",-0.4939,1
"That's funky, that cat is on drugs😁😁😁😁",-0.1027,0
Sleeps like a king,0.3612,0
DARO PIKAR SORAHI BILLI WAH BHI BICH RASTE ME CHAL UTH AIDI,0,0
A perfect candidate for the quarantine...,0.5719,1
He work graveyard shift last night,-0.296,1
Garfield is that uuuu,0,0
You can tell this poor cat is dying from neglect. Lol😅,-0.7667,0
You don't tell cat what to do. Cat going to do what cat going to do. 😂👍,0,0
Do that shit in Wuhan and end up in 80 pieces covered in General Tso sauce,-0.5574,0
I think he had to much milk,0,0
"Wanted attention - didn't get it.

Now he/she lays in the center of the floor. What a martyr!",0,0
😂,0,0
😂😂😂👍👍,0,0
That's me in the mornings 😂,0,0
Have u given CAT QUITIPIN TABS !!!,0,0
This is how I feel right now in bed. 🤣😅😂,0,0
It is tired,-0.4404,0
Cute cat,0.4588,0
Plot twist: the cat partied hard the night before and is having a really bad hangover,-0.4201,592
Don't disturb me. I have night shift.,0.3089,0
😂 lol,0.4215,0
Lazy cat that is the next chef special.,0.0516,0
"No Past... No future .... Concentrate the mind on present moment....
.... It's Dalai Lama cat ...",-0.5267,4
"Neymar Jr. would be jealous, he better take notes!",-0.1007,0
That's one very secure feline!,0.4561,0
🤣🤣🤣,0,0
🥳🥳🥳🥳🤗🍭🍭,0,0
"Why rude? U, are, educare???",-0.6072,0
Someone gave her sleeping pill.,0,0
I hate cats,-0.5719,0
Boss Cat,0,0
I wish I could sleep like that.,0.6369,0
Drunken pussycat.,0,0
A living God amount human slaves hahahahahahahahah wake me up when my poched fish is ready,0.5574,0
"The worest lazy cat , I never seen in my whole life , boy!",-0.4199,0
They probably shot her up with something to paralyze her until later to she ready to be cooked,0.3612,0
Something he ate from the kitchen sedated him 😁,0,0
So a cat sleeping style like a human!,0.4199,1
"Go away, human",0,0
"People to cat: what the fuck are doing here in the middle? 

Cat: dude I hold 51% of the share capital, any problem.",-0.6124,0
